PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star
060013,1,8,10,5,6,10,5,2,3) # of groups=5,0.7185811005257303,5.0
060014,1,8,7,3,7,8,5,2,3) # of groups=5,-0.2231877672283123,3.0
060015,1,8,8,7,6,8,5,2,3) # of groups=5,0.6509428096000051,5.0
060020,1,8,9,7,7,11,5,2,3) # of groups=5,-0.3121496684809071,2.0
060022,1,8,11,7,8,11,5,2,3) # of groups=5,0.209801108488929,4.0
060023,1,8,11,7,7,10,5,2,3) # of groups=5,0.3294765108927978,4.0
060024,1,8,11,7,8,11,5,2,3) # of groups=5,0.8828743357446814,5.0
060027,1,8,9,7,7,11,5,2,3) # of groups=5,-0.1048244161822024,3.0
060028,1,8,10,5,8,11,5,2,3) # of groups=5,0.7469174124094542,5.0
060030,1,8,7,4,3,9,5,2,3) # of groups=5,0.0333908940577286,3.0
060031,1,8,11,7,8,9,5,2,3) # of groups=5,0.4054169943073298,5.0
060032,1,8,5,6,8,8,5,2,3) # of groups=5,0.3492103042471812,4.0
060034,1,8,11,7,8,8,5,2,3) # of groups=5,0.6553012860053744,5.0
060044,0,8,3,0,2,7,3,0,1) # of groups=3,0.7241574882251985,N/A
060049,1,8,6,0,3,9,4,1,2) # of groups=4,0.441032174268068,4.0
060054,1,8,8,2,4,9,4,1,2) # of groups=4,0.6441475224423316,5.0
06005F,1,8,6,5,4,6,5,2,3) # of groups=5,-0.1013824464943145,3.0
060064,1,8,8,6,7,8,5,2,3) # of groups=5,0.5610351343494873,5.0
060065,1,8,5,5,6,10,5,2,3) # of groups=5,-0.1079578756136801,3.0
060071,1,8,8,2,3,9,4,1,2) # of groups=4,0.0272820323041395,3.0
060075,1,8,10,4,5,9,5,2,3) # of groups=5,0.7093140721008692,5.0
060076,0,8,8,2,1,8,3,0,1) # of groups=3,0.3984456148632898,N/A
06007F,1,8,5,3,2,4,4,1,2) # of groups=4,0.6467054960878464,5.0
060096,1,8,7,1,3,10,4,1,2) # of groups=4,0.7743272555698428,5.0
060100,1,8,9,7,7,9,5,2,3) # of groups=5,0.4467038067251279,5.0
060103,1,8,7,2,5,8,4,1,2) # of groups=4,0.3679262318427068,4.0
