PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp
050534,1,8,5,4,4,9,5,2,3) # of groups=5
050537,1,8,8,3,3,10,5,2,3) # of groups=5
050541,1,8,1,1,6,4,3,1,1) # of groups=3
050543,0,0,0,0,1,3,1,0,
050549,1,8,9,7,8,8,5,2,3) # of groups=5
050551,1,8,7,6,6,7,5,2,3) # of groups=5
050557,1,8,11,7,7,9,5,2,3) # of groups=5
050561,1,8,1,0,6,4,3,1,1) # of groups=3
050567,1,8,11,7,7,11,5,2,3) # of groups=5
050570,1,8,8,7,8,7,5,2,3) # of groups=5
050573,1,8,11,7,8,10,5,2,3) # of groups=5
050580,1,8,5,3,3,6,5,2,3) # of groups=5
050581,1,8,8,6,7,7,5,2,3) # of groups=5
050586,0,8,3,2,2,6,3,0,1) # of groups=3
050588,1,8,4,2,4,8,4,1,2) # of groups=4
050589,1,8,6,2,4,8,4,1,2) # of groups=4
050590,1,8,6,5,5,9,5,2,3) # of groups=5
050597,1,8,6,5,6,8,5,2,3) # of groups=5
050599,1,8,11,7,8,10,5,2,3) # of groups=5
050603,1,8,7,7,6,8,5,2,3) # of groups=5
050604,1,8,2,2,6,4,3,1,1) # of groups=3
050608,0,8,4,2,2,8,3,0,1) # of groups=3
050609,1,8,1,0,7,4,3,1,1) # of groups=3
050624,1,8,9,6,7,10,5,2,3) # of groups=5
050625,1,8,11,7,8,11,5,2,3) # of groups=5
050633,1,8,7,4,5,10,5,2,3) # of groups=5
050636,1,8,7,4,5,9,5,2,3) # of groups=5
050641,0,8,3,2,2,8,3,0,1) # of groups=3
050663,1,8,5,3,5,6,5,2,3) # of groups=5
050668,0,0,2,1,1,3,1,0,
050674,1,8,3,5,6,4,5,2,3) # of groups=5
050677,1,8,1,0,6,4,3,1,1) # of groups=3
050678,1,8,10,7,8,8,5,2,3) # of groups=5
050684,0,8,2,2,2,6,2,0,
050686,1,8,1,0,6,4,3,1,1) # of groups=3
050689,1,8,7,5,4,9,5,2,3) # of groups=5
050690,1,8,1,0,6,4,3,1,1) # of groups=3
050696,1,8,10,5,8,7,5,2,3) # of groups=5
050697,0,0,1,0,1,2,0,0,
050701,1,8,7,6,7,9,5,2,3) # of groups=5
050704,1,8,5,4,6,7,5,2,3) # of groups=5
